#r(m)				rho(kg/m3)
0.000000000000000000e+00	1.308847999999999956e+04
6.000000000000000000e+05	1.301009000000000015e+04
1.000000000000000000e+06	1.287072999999999956e+04
1.200000000000000000e+06	1.277493000000000029e+04
1.221500000000000000e+06	1.216634000000000015e+04
1.600000000000000000e+06	1.194681999999999971e+04
2.000000000000000000e+06	1.165478000000000065e+04
2.400000000000000000e+06	1.129297999999999956e+04
2.800000000000000000e+06	1.085320999999999913e+04
3.200000000000000000e+06	1.032726000000000022e+04
3.480000000000000000e+06	9.903489999999999782e+03
3.630000000000000000e+06	5.491449999999999818e+03
4.000000000000000000e+06	5.307239999999999782e+03
4.400000000000000000e+06	5.105899999999999636e+03
4.800000000000000000e+06	4.897829999999999927e+03
5.200000000000000000e+06	4.678439999999999600e+03
5.600000000000000000e+06	4.443170000000000073e+03
5.701000000000000000e+06	4.380710000000000036e+03
5.771000000000000000e+06	3.975840000000000146e+03
5.971000000000000000e+06	3.543250000000000000e+03
6.061000000000000000e+06	3.489510000000000218e+03
6.151000000000000000e+06	3.435780000000000200e+03
6.221000000000000000e+06	3.367099999999999909e+03
6.291000000000000000e+06	3.374710000000000036e+03
6.346600000000000000e+06	2.900000000000000000e+03
6.356000000000000000e+06	2.600000000000000000e+03
6.368000000000000000e+06	2.600000000000000000e+03
6.371000000000000000e+06	1.020000000000000000e+03
