0.000000000000000000e+00 -2.555005954970090976e-02
1.111111111111111049e-01 1.510243735988758829e+00
2.222222222222222099e-01 4.193074965794121312e+00
3.333333333333333148e-01 5.360781472491506605e+00
4.444444444444444198e-01 6.825947813633929329e+00
5.555555555555555802e-01 4.550492755080474794e+00
6.666666666666666297e-01 6.166964972285047253e+00
7.777777777777776791e-01 7.657884376334239462e+00
8.888888888888888395e-01 6.424956119547823086e+00
1.000000000000000000e+00 1.339824797103124077e+01
